PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1627780,"Payton II, Gary",1,50,49,Overall,1.0,134,233,0.575,0.618,0.695,114,162,0.704,0.305,20,71,0.282,Gary Payton II
1630228,"Kuminga, Jonathan",1,32,32,Overall,1.0,193,422,0.457,0.505,0.725,153,306,0.5,0.275,40,116,0.345,Jonathan Kuminga
1641764,"Podziemski, Brandin",1,50,49,Overall,1.0,191,447,0.427,0.503,0.523,123,234,0.526,0.477,68,213,0.319,Brandin Podziemski
1630541,"Moody, Moses",1,55,55,Overall,1.0,182,404,0.45,0.564,0.403,90,163,0.552,0.597,92,241,0.382,Moses Moody
1626172,"Looney, Kevon",1,57,54,Overall,1.0,119,234,0.509,0.509,0.987,119,231,0.515,0.013,0,3,0.0,Kevon Looney
1627741,"Hield, Buddy",1,63,63,Overall,1.0,262,632,0.415,0.54,0.312,103,197,0.523,0.688,159,435,0.366,Buddy Hield
202710,"Butler III, Jimmy",1,12,12,Overall,1.0,59,132,0.447,0.458,0.841,56,111,0.505,0.159,3,21,0.143,Jimmy Butler III
1630611,"Santos, Gui",1,38,33,Overall,1.0,51,116,0.44,0.53,0.414,30,48,0.625,0.586,21,68,0.309,Gui Santos
1642366,"Post, Quinten",1,25,24,Overall,1.0,78,167,0.467,0.599,0.407,34,68,0.5,0.593,44,99,0.444,Quinten Post
203110,"Green, Draymond",1,50,50,Overall,1.0,155,363,0.427,0.501,0.548,101,199,0.508,0.452,54,164,0.329,Draymond Green
201939,"Curry, Stephen",1,54,54,Overall,1.0,438,974,0.45,0.576,0.374,192,364,0.527,0.626,246,610,0.403,Stephen Curry
1631218,"Jackson-Davis, Trayce",1,50,47,Overall,1.0,157,275,0.571,0.571,0.996,157,274,0.573,0.004,0,1,0.0,Trayce Jackson-Davis
1642050,"Rowe, Jackson",1,5,5,Overall,1.0,6,15,0.4,0.467,0.4,4,6,0.667,0.6,2,9,0.222,Jackson Rowe
1630311,"Spencer, Pat",1,29,24,Overall,1.0,33,84,0.393,0.405,0.798,31,67,0.463,0.202,2,17,0.118,Pat Spencer
