PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1627780,"Payton II, Gary",1,50,39,Catch and Shoot,0.3,21,70,0.3,0.443,0.004,1,1,1.0,0.296,20,69,0.29,Gary Payton II
1627780,"Payton II, Gary",2,50,2,Pull Ups,0.009,0,2,0.0,0.0,0.0,0,0,,0.009,0,2,0.0,Gary Payton II
1627780,"Payton II, Gary",3,50,48,Less than 10 ft,0.691,113,161,0.702,0.702,0.691,113,161,0.702,0.0,0,0,,Gary Payton II
1630228,"Kuminga, Jonathan",1,32,30,Catch and Shoot,0.206,34,87,0.391,0.586,0.007,0,3,0.0,0.199,34,84,0.405,Jonathan Kuminga
1630228,"Kuminga, Jonathan",2,32,31,Pull Ups,0.232,26,98,0.265,0.291,0.166,21,70,0.3,0.066,5,28,0.179,Jonathan Kuminga
1630228,"Kuminga, Jonathan",3,32,32,Less than 10 ft,0.547,132,231,0.571,0.571,0.547,132,231,0.571,0.0,0,0,,Jonathan Kuminga
1630228,"Kuminga, Jonathan",4,32,6,Other,0.014,1,6,0.167,0.25,0.005,0,2,0.0,0.009,1,4,0.25,Jonathan Kuminga
1641764,"Podziemski, Brandin",1,50,43,Catch and Shoot,0.291,44,130,0.338,0.504,0.007,1,3,0.333,0.284,43,127,0.339,Brandin Podziemski
1641764,"Podziemski, Brandin",2,50,43,Pull Ups,0.353,58,158,0.367,0.434,0.179,37,80,0.463,0.174,21,78,0.269,Brandin Podziemski
1641764,"Podziemski, Brandin",3,50,48,Less than 10 ft,0.338,85,151,0.563,0.563,0.338,85,151,0.563,0.0,0,0,,Brandin Podziemski
1641764,"Podziemski, Brandin",4,50,7,Other,0.018,4,8,0.5,0.75,0.0,0,0,,0.018,4,8,0.5,Brandin Podziemski
1630541,"Moody, Moses",1,55,55,Catch and Shoot,0.542,80,219,0.365,0.548,0.012,0,5,0.0,0.53,80,214,0.374,Moses Moody
1630541,"Moody, Moses",2,55,36,Pull Ups,0.131,21,53,0.396,0.5,0.072,10,29,0.345,0.059,11,24,0.458,Moses Moody
1630541,"Moody, Moses",3,55,47,Less than 10 ft,0.319,80,129,0.62,0.62,0.319,80,129,0.62,0.0,0,0,,Moses Moody
1630541,"Moody, Moses",4,55,3,Other,0.007,1,3,0.333,0.5,0.0,0,0,,0.007,1,3,0.333,Moses Moody
1626172,"Looney, Kevon",1,57,21,Catch and Shoot,0.103,7,24,0.292,0.292,0.094,7,22,0.318,0.009,0,2,0.0,Kevon Looney
1626172,"Looney, Kevon",2,57,10,Pull Ups,0.043,3,10,0.3,0.3,0.038,3,9,0.333,0.004,0,1,0.0,Kevon Looney
1626172,"Looney, Kevon",3,57,54,Less than 10 ft,0.85,109,199,0.548,0.548,0.85,109,199,0.548,0.0,0,0,,Kevon Looney
1626172,"Looney, Kevon",4,57,1,Other,0.004,0,1,0.0,0.0,0.004,0,1,0.0,0.0,0,0,,Kevon Looney
1627741,"Hield, Buddy",1,63,63,Catch and Shoot,0.498,125,315,0.397,0.589,0.014,4,9,0.444,0.484,121,306,0.395,Buddy Hield
