PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1627780,"Payton II, Gary",1,50,7,24-22,0.047,8,11,0.727,0.727,0.047,8,11,0.727,0.0,0,0,,Gary Payton II
1627780,"Payton II, Gary",2,50,27,22-18 Very Early,0.172,33,40,0.825,0.838,0.167,32,39,0.821,0.004,1,1,1.0,Gary Payton II
1627780,"Payton II, Gary",3,50,21,18-15 Early,0.12,14,28,0.5,0.554,0.077,11,18,0.611,0.043,3,10,0.3,Gary Payton II
1627780,"Payton II, Gary",4,50,45,15-7 Average,0.511,65,119,0.546,0.597,0.326,53,76,0.697,0.185,12,43,0.279,Gary Payton II
1627780,"Payton II, Gary",5,50,14,7-4 Late,0.09,9,21,0.429,0.476,0.043,7,10,0.7,0.047,2,11,0.182,Gary Payton II
1627780,"Payton II, Gary",6,50,12,4-0 Very Late,0.06,5,14,0.357,0.429,0.034,3,8,0.375,0.026,2,6,0.333,Gary Payton II
1630228,"Kuminga, Jonathan",1,32,12,24-22,0.033,8,14,0.571,0.571,0.033,8,14,0.571,0.0,0,0,,Jonathan Kuminga
1630228,"Kuminga, Jonathan",2,32,28,22-18 Very Early,0.121,29,51,0.569,0.588,0.107,27,45,0.6,0.014,2,6,0.333,Jonathan Kuminga
1630228,"Kuminga, Jonathan",3,32,29,18-15 Early,0.185,36,78,0.462,0.519,0.128,27,54,0.5,0.057,9,24,0.375,Jonathan Kuminga
1630228,"Kuminga, Jonathan",4,32,31,15-7 Average,0.481,99,203,0.488,0.547,0.334,75,141,0.532,0.147,24,62,0.387,Jonathan Kuminga
1630228,"Kuminga, Jonathan",5,32,22,7-4 Late,0.076,8,32,0.25,0.297,0.057,5,24,0.208,0.019,3,8,0.375,Jonathan Kuminga
1630228,"Kuminga, Jonathan",6,32,25,4-0 Very Late,0.104,13,44,0.295,0.318,0.066,11,28,0.393,0.038,2,16,0.125,Jonathan Kuminga
1641764,"Podziemski, Brandin",1,50,9,24-22,0.025,5,11,0.455,0.455,0.022,5,10,0.5,0.002,0,1,0.0,Brandin Podziemski
1641764,"Podziemski, Brandin",2,50,30,22-18 Very Early,0.136,32,61,0.525,0.623,0.06,20,27,0.741,0.076,12,34,0.353,Brandin Podziemski
1641764,"Podziemski, Brandin",3,50,35,18-15 Early,0.15,35,67,0.522,0.619,0.074,22,33,0.667,0.076,13,34,0.382,Brandin Podziemski
1641764,"Podziemski, Brandin",4,50,47,15-7 Average,0.438,80,196,0.408,0.49,0.208,48,93,0.516,0.23,32,103,0.311,Brandin Podziemski
