PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1627780,"Payton II, Gary",1,50,48,0 Dribbles,0.725,97,169,0.574,0.633,0.429,77,100,0.77,0.296,20,69,0.29,Gary Payton II
1627780,"Payton II, Gary",2,50,24,1 Dribble,0.163,20,38,0.526,0.526,0.155,20,36,0.556,0.009,0,2,0.0,Gary Payton II
1627780,"Payton II, Gary",3,50,13,2 Dribbles,0.069,11,16,0.688,0.688,0.069,11,16,0.688,0.0,0,0,,Gary Payton II
1627780,"Payton II, Gary",4,50,8,3-6 Dribbles,0.039,6,9,0.667,0.667,0.039,6,9,0.667,0.0,0,0,,Gary Payton II
1627780,"Payton II, Gary",5,50,1,7+ Dribbles,0.004,0,1,0.0,0.0,0.004,0,1,0.0,0.0,0,0,,Gary Payton II
1630228,"Kuminga, Jonathan",1,32,32,0 Dribbles,0.391,88,165,0.533,0.639,0.182,53,77,0.688,0.209,35,88,0.398,Jonathan Kuminga
1630228,"Kuminga, Jonathan",2,32,24,1 Dribble,0.128,24,54,0.444,0.491,0.09,19,38,0.5,0.038,5,16,0.313,Jonathan Kuminga
1630228,"Kuminga, Jonathan",3,32,22,2 Dribbles,0.095,18,40,0.45,0.45,0.083,18,35,0.514,0.012,0,5,0.0,Jonathan Kuminga
1630228,"Kuminga, Jonathan",4,32,31,3-6 Dribbles,0.263,42,111,0.378,0.378,0.251,42,106,0.396,0.012,0,5,0.0,Jonathan Kuminga
1630228,"Kuminga, Jonathan",5,32,26,7+ Dribbles,0.123,21,52,0.404,0.404,0.118,21,50,0.42,0.005,0,2,0.0,Jonathan Kuminga
1641764,"Podziemski, Brandin",1,50,46,0 Dribbles,0.409,79,183,0.432,0.56,0.107,32,48,0.667,0.302,47,135,0.348,Brandin Podziemski
1641764,"Podziemski, Brandin",2,50,34,1 Dribble,0.15,27,67,0.403,0.493,0.074,15,33,0.455,0.076,12,34,0.353,Brandin Podziemski
1641764,"Podziemski, Brandin",3,50,35,2 Dribbles,0.143,27,64,0.422,0.43,0.123,26,55,0.473,0.02,1,9,0.111,Brandin Podziemski
1641764,"Podziemski, Brandin",4,50,39,3-6 Dribbles,0.186,36,83,0.434,0.452,0.145,33,65,0.508,0.04,3,18,0.167,Brandin Podziemski
1641764,"Podziemski, Brandin",5,50,28,7+ Dribbles,0.112,22,50,0.44,0.49,0.074,17,33,0.515,0.038,5,17,0.294,Brandin Podziemski
1630541,"Moody, Moses",1,55,55,0 Dribbles,0.639,107,258,0.415,0.572,0.101,26,41,0.634,0.537,81,217,0.373,Moses Moody
1630541,"Moody, Moses",2,55,30,1 Dribble,0.109,26,44,0.591,0.67,0.064,19,26,0.731,0.045,7,18,0.389,Moses Moody
