PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1627780,"Payton II, Gary",1,50,11,0-2 Feet - Very Tight,0.06,11,14,0.786,0.786,0.06,11,14,0.786,0.0,0,0,,Gary Payton II
1627780,"Payton II, Gary",2,50,45,2-4 Feet - Tight,0.476,75,111,0.676,0.676,0.476,75,111,0.676,0.0,0,0,,Gary Payton II
1627780,"Payton II, Gary",3,50,22,4-6 Feet - Open,0.12,16,28,0.571,0.571,0.103,16,24,0.667,0.017,0,4,0.0,Gary Payton II
1627780,"Payton II, Gary",4,50,42,6+ Feet - Wide Open,0.343,32,80,0.4,0.525,0.056,12,13,0.923,0.288,20,67,0.299,Gary Payton II
1630228,"Kuminga, Jonathan",1,32,28,0-2 Feet - Very Tight,0.116,20,49,0.408,0.408,0.116,20,49,0.408,0.0,0,0,,Jonathan Kuminga
1630228,"Kuminga, Jonathan",2,32,32,2-4 Feet - Tight,0.436,93,184,0.505,0.508,0.419,92,177,0.52,0.017,1,7,0.143,Jonathan Kuminga
1630228,"Kuminga, Jonathan",3,32,29,4-6 Feet - Open,0.275,46,116,0.397,0.457,0.166,32,70,0.457,0.109,14,46,0.304,Jonathan Kuminga
1630228,"Kuminga, Jonathan",4,32,30,6+ Feet - Wide Open,0.173,34,73,0.466,0.637,0.024,9,10,0.9,0.149,25,63,0.397,Jonathan Kuminga
1641764,"Podziemski, Brandin",1,50,18,0-2 Feet - Very Tight,0.065,14,29,0.483,0.483,0.063,14,28,0.5,0.002,0,1,0.0,Brandin Podziemski
1641764,"Podziemski, Brandin",2,50,47,2-4 Feet - Tight,0.32,69,143,0.483,0.49,0.295,67,132,0.508,0.025,2,11,0.182,Brandin Podziemski
1641764,"Podziemski, Brandin",3,50,44,4-6 Feet - Open,0.289,52,129,0.403,0.481,0.13,32,58,0.552,0.159,20,71,0.282,Brandin Podziemski
1641764,"Podziemski, Brandin",4,50,45,6+ Feet - Wide Open,0.327,56,146,0.384,0.541,0.036,10,16,0.625,0.291,46,130,0.354,Brandin Podziemski
1630541,"Moody, Moses",1,55,16,0-2 Feet - Very Tight,0.047,12,19,0.632,0.632,0.047,12,19,0.632,0.0,0,0,,Moses Moody
1630541,"Moody, Moses",2,55,47,2-4 Feet - Tight,0.327,58,132,0.439,0.466,0.252,51,102,0.5,0.074,7,30,0.233,Moses Moody
1630541,"Moody, Moses",3,55,53,4-6 Feet - Open,0.374,62,151,0.411,0.543,0.089,22,36,0.611,0.285,40,115,0.348,Moses Moody
1630541,"Moody, Moses",4,55,49,6+ Feet - Wide Open,0.252,50,102,0.49,0.711,0.015,5,6,0.833,0.238,45,96,0.469,Moses Moody
1626172,"Looney, Kevon",1,57,24,0-2 Feet - Very Tight,0.132,12,31,0.387,0.387,0.132,12,31,0.387,0.0,0,0,,Kevon Looney
1626172,"Looney, Kevon",2,57,49,2-4 Feet - Tight,0.628,77,147,0.524,0.524,0.624,77,146,0.527,0.004,0,1,0.0,Kevon Looney
1626172,"Looney, Kevon",3,57,26,4-6 Feet - Open,0.145,21,34,0.618,0.618,0.141,21,33,0.636,0.004,0,1,0.0,Kevon Looney
1626172,"Looney, Kevon",4,57,18,6+ Feet - Wide Open,0.094,9,22,0.409,0.409,0.09,9,21,0.429,0.004,0,1,0.0,Kevon Looney
1627741,"Hield, Buddy",1,63,21,0-2 Feet - Very Tight,0.047,15,30,0.5,0.533,0.033,13,21,0.619,0.014,2,9,0.222,Buddy Hield
1627741,"Hield, Buddy",2,63,60,2-4 Feet - Tight,0.296,77,187,0.412,0.465,0.18,57,114,0.5,0.116,20,73,0.274,Buddy Hield
1627741,"Hield, Buddy",3,63,60,4-6 Feet - Open,0.332,73,210,0.348,0.467,0.078,23,49,0.469,0.255,50,161,0.311,Buddy Hield
1627741,"Hield, Buddy",4,63,61,6+ Feet - Wide Open,0.324,97,205,0.473,0.685,0.021,10,13,0.769,0.304,87,192,0.453,Buddy Hield
202710,"Butler III, Jimmy",1,12,7,0-2 Feet - Very Tight,0.091,5,12,0.417,0.417,0.091,5,12,0.417,0.0,0,0,,Jimmy Butler III
202710,"Butler III, Jimmy",2,12,12,2-4 Feet - Tight,0.515,34,68,0.5,0.5,0.508,34,67,0.507,0.008,0,1,0.0,Jimmy Butler III
202710,"Butler III, Jimmy",3,12,12,4-6 Feet - Open,0.242,13,32,0.406,0.422,0.182,12,24,0.5,0.061,1,8,0.125,Jimmy Butler III
202710,"Butler III, Jimmy",4,12,12,6+ Feet - Wide Open,0.152,7,20,0.35,0.4,0.061,5,8,0.625,0.091,2,12,0.167,Jimmy Butler III
1630611,"Santos, Gui",1,38,6,0-2 Feet - Very Tight,0.052,3,6,0.5,0.5,0.052,3,6,0.5,0.0,0,0,,Gui Santos
1630611,"Santos, Gui",2,38,18,2-4 Feet - Tight,0.224,14,26,0.538,0.538,0.216,14,25,0.56,0.009,0,1,0.0,Gui Santos
1630611,"Santos, Gui",3,38,25,4-6 Feet - Open,0.319,13,37,0.351,0.419,0.103,8,12,0.667,0.216,5,25,0.2,Gui Santos
1630611,"Santos, Gui",4,38,20,6+ Feet - Wide Open,0.405,21,47,0.447,0.617,0.043,5,5,1.0,0.362,16,42,0.381,Gui Santos
1642366,"Post, Quinten",1,25,7,0-2 Feet - Very Tight,0.066,4,11,0.364,0.364,0.066,4,11,0.364,0.0,0,0,,Quinten Post
1642366,"Post, Quinten",2,25,20,2-4 Feet - Tight,0.275,21,46,0.457,0.457,0.263,21,44,0.477,0.012,0,2,0.0,Quinten Post
1642366,"Post, Quinten",3,25,17,4-6 Feet - Open,0.168,13,28,0.464,0.589,0.06,6,10,0.6,0.108,7,18,0.389,Quinten Post
1642366,"Post, Quinten",4,25,23,6+ Feet - Wide Open,0.491,40,82,0.488,0.713,0.018,3,3,1.0,0.473,37,79,0.468,Quinten Post
203110,"Green, Draymond",1,50,15,0-2 Feet - Very Tight,0.058,8,21,0.381,0.381,0.058,8,21,0.381,0.0,0,0,,Draymond Green
203110,"Green, Draymond",2,50,45,2-4 Feet - Tight,0.361,65,131,0.496,0.5,0.347,64,126,0.508,0.014,1,5,0.2,Draymond Green
203110,"Green, Draymond",3,50,40,4-6 Feet - Open,0.223,37,81,0.457,0.562,0.096,20,35,0.571,0.127,17,46,0.37,Draymond Green
203110,"Green, Draymond",4,50,41,6+ Feet - Wide Open,0.358,45,130,0.346,0.485,0.047,9,17,0.529,0.311,36,113,0.319,Draymond Green
201939,"Curry, Stephen",1,54,30,0-2 Feet - Very Tight,0.044,23,43,0.535,0.547,0.041,22,40,0.55,0.003,1,3,0.333,Stephen Curry
201939,"Curry, Stephen",2,54,54,2-4 Feet - Tight,0.334,135,325,0.415,0.48,0.217,93,211,0.441,0.117,42,114,0.368,Stephen Curry
201939,"Curry, Stephen",3,54,54,4-6 Feet - Open,0.444,200,432,0.463,0.618,0.097,66,94,0.702,0.347,134,338,0.396,Stephen Curry
201939,"Curry, Stephen",4,54,49,6+ Feet - Wide Open,0.179,80,174,0.46,0.658,0.02,11,19,0.579,0.159,69,155,0.445,Stephen Curry
1631218,"Jackson-Davis, Trayce",1,50,28,0-2 Feet - Very Tight,0.153,14,42,0.333,0.333,0.153,14,42,0.333,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",2,50,44,2-4 Feet - Tight,0.687,109,189,0.577,0.577,0.687,109,189,0.577,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",3,50,22,4-6 Feet - Open,0.12,28,33,0.848,0.848,0.116,28,32,0.875,0.004,0,1,0.0,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",4,50,10,6+ Feet - Wide Open,0.04,6,11,0.545,0.545,0.04,6,11,0.545,0.0,0,0,,Trayce Jackson-Davis
1642050,"Rowe, Jackson",1,5,1,0-2 Feet - Very Tight,0.067,1,1,1.0,1.0,0.067,1,1,1.0,0.0,0,0,,Jackson Rowe
1642050,"Rowe, Jackson",2,5,3,2-4 Feet - Tight,0.267,1,4,0.25,0.25,0.2,1,3,0.333,0.067,0,1,0.0,Jackson Rowe
1642050,"Rowe, Jackson",3,5,4,4-6 Feet - Open,0.533,4,8,0.5,0.625,0.133,2,2,1.0,0.4,2,6,0.333,Jackson Rowe
1642050,"Rowe, Jackson",4,5,1,6+ Feet - Wide Open,0.133,0,2,0.0,0.0,0.0,0,0,,0.133,0,2,0.0,Jackson Rowe
1630311,"Spencer, Pat",1,29,9,0-2 Feet - Very Tight,0.143,4,12,0.333,0.333,0.143,4,12,0.333,0.0,0,0,,Pat Spencer
1630311,"Spencer, Pat",2,29,21,2-4 Feet - Tight,0.5,19,42,0.452,0.452,0.5,19,42,0.452,0.0,0,0,,Pat Spencer
1630311,"Spencer, Pat",3,29,5,4-6 Feet - Open,0.095,4,8,0.5,0.5,0.071,4,6,0.667,0.024,0,2,0.0,Pat Spencer
1630311,"Spencer, Pat",4,29,12,6+ Feet - Wide Open,0.262,6,22,0.273,0.318,0.083,4,7,0.571,0.179,2,15,0.133,Pat Spencer
