PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1627780,"Payton II, Gary",3,50,4,4-6 Feet - Open,0.017,0,4,0.0,0.0,0.0,0,0,,0.017,0,4,0.0,Gary Payton II
1627780,"Payton II, Gary",4,50,38,6+ Feet - Wide Open,0.292,21,68,0.309,0.456,0.004,1,1,1.0,0.288,20,67,0.299,Gary Payton II
1630228,"Kuminga, Jonathan",1,32,4,0-2 Feet - Very Tight,0.009,0,4,0.0,0.0,0.009,0,4,0.0,0.0,0,0,,Jonathan Kuminga
1630228,"Kuminga, Jonathan",2,32,24,2-4 Feet - Tight,0.083,8,35,0.229,0.243,0.066,7,28,0.25,0.017,1,7,0.143,Jonathan Kuminga
1630228,"Kuminga, Jonathan",3,32,29,4-6 Feet - Open,0.201,25,85,0.294,0.376,0.092,11,39,0.282,0.109,14,46,0.304,Jonathan Kuminga
1630228,"Kuminga, Jonathan",4,32,30,6+ Feet - Wide Open,0.159,28,67,0.418,0.604,0.009,3,4,0.75,0.149,25,63,0.397,Jonathan Kuminga
1641764,"Podziemski, Brandin",1,50,5,0-2 Feet - Very Tight,0.013,3,6,0.5,0.5,0.011,3,5,0.6,0.002,0,1,0.0,Brandin Podziemski
1641764,"Podziemski, Brandin",2,50,26,2-4 Feet - Tight,0.094,13,42,0.31,0.333,0.069,11,31,0.355,0.025,2,11,0.182,Brandin Podziemski
1641764,"Podziemski, Brandin",3,50,41,4-6 Feet - Open,0.242,37,108,0.343,0.435,0.083,17,37,0.459,0.159,20,71,0.282,Brandin Podziemski
1641764,"Podziemski, Brandin",4,50,43,6+ Feet - Wide Open,0.313,53,140,0.379,0.543,0.022,7,10,0.7,0.291,46,130,0.354,Brandin Podziemski
1630541,"Moody, Moses",1,55,2,0-2 Feet - Very Tight,0.005,2,2,1.0,1.0,0.005,2,2,1.0,0.0,0,0,,Moses Moody
1630541,"Moody, Moses",2,55,30,2-4 Feet - Tight,0.109,7,44,0.159,0.239,0.035,0,14,0.0,0.074,7,30,0.233,Moses Moody
1630541,"Moody, Moses",3,55,52,4-6 Feet - Open,0.324,47,131,0.359,0.511,0.04,7,16,0.438,0.285,40,115,0.348,Moses Moody
1630541,"Moody, Moses",4,55,49,6+ Feet - Wide Open,0.243,46,98,0.469,0.699,0.005,1,2,0.5,0.238,45,96,0.469,Moses Moody
1626172,"Looney, Kevon",1,57,1,0-2 Feet - Very Tight,0.004,1,1,1.0,1.0,0.004,1,1,1.0,0.0,0,0,,Kevon Looney
1626172,"Looney, Kevon",2,57,5,2-4 Feet - Tight,0.021,2,5,0.4,0.4,0.017,2,4,0.5,0.004,0,1,0.0,Kevon Looney
1626172,"Looney, Kevon",3,57,11,4-6 Feet - Open,0.056,4,13,0.308,0.308,0.051,4,12,0.333,0.004,0,1,0.0,Kevon Looney
1626172,"Looney, Kevon",4,57,14,6+ Feet - Wide Open,0.068,3,16,0.188,0.188,0.064,3,15,0.2,0.004,0,1,0.0,Kevon Looney
1627741,"Hield, Buddy",1,63,8,0-2 Feet - Very Tight,0.017,3,11,0.273,0.364,0.003,1,2,0.5,0.014,2,9,0.222,Buddy Hield
1627741,"Hield, Buddy",2,63,50,2-4 Feet - Tight,0.139,25,88,0.284,0.398,0.024,5,15,0.333,0.116,20,73,0.274,Buddy Hield
1627741,"Hield, Buddy",3,63,60,4-6 Feet - Open,0.312,62,197,0.315,0.442,0.057,12,36,0.333,0.255,50,161,0.311,Buddy Hield
1627741,"Hield, Buddy",4,63,61,6+ Feet - Wide Open,0.312,89,197,0.452,0.673,0.008,2,5,0.4,0.304,87,192,0.453,Buddy Hield
202710,"Butler III, Jimmy",2,12,8,2-4 Feet - Tight,0.076,4,10,0.4,0.4,0.068,4,9,0.444,0.008,0,1,0.0,Jimmy Butler III
202710,"Butler III, Jimmy",3,12,12,4-6 Feet - Open,0.182,8,24,0.333,0.354,0.121,7,16,0.438,0.061,1,8,0.125,Jimmy Butler III
202710,"Butler III, Jimmy",4,12,9,6+ Feet - Wide Open,0.106,3,14,0.214,0.286,0.015,1,2,0.5,0.091,2,12,0.167,Jimmy Butler III
1630611,"Santos, Gui",2,38,2,2-4 Feet - Tight,0.017,0,2,0.0,0.0,0.009,0,1,0.0,0.009,0,1,0.0,Gui Santos
1630611,"Santos, Gui",3,38,20,4-6 Feet - Open,0.224,5,26,0.192,0.288,0.009,0,1,0.0,0.216,5,25,0.2,Gui Santos
1630611,"Santos, Gui",4,38,19,6+ Feet - Wide Open,0.362,16,42,0.381,0.571,0.0,0,0,,0.362,16,42,0.381,Gui Santos
1642366,"Post, Quinten",2,25,2,2-4 Feet - Tight,0.018,1,3,0.333,0.333,0.006,1,1,1.0,0.012,0,2,0.0,Quinten Post
1642366,"Post, Quinten",3,25,16,4-6 Feet - Open,0.144,10,24,0.417,0.563,0.036,3,6,0.5,0.108,7,18,0.389,Quinten Post
1642366,"Post, Quinten",4,25,23,6+ Feet - Wide Open,0.479,38,80,0.475,0.706,0.006,1,1,1.0,0.473,37,79,0.468,Quinten Post
203110,"Green, Draymond",2,50,11,2-4 Feet - Tight,0.033,3,12,0.25,0.292,0.019,2,7,0.286,0.014,1,5,0.2,Draymond Green
203110,"Green, Draymond",3,50,36,4-6 Feet - Open,0.157,21,57,0.368,0.518,0.03,4,11,0.364,0.127,17,46,0.37,Draymond Green
203110,"Green, Draymond",4,50,41,6+ Feet - Wide Open,0.353,43,128,0.336,0.477,0.041,7,15,0.467,0.311,36,113,0.319,Draymond Green
201939,"Curry, Stephen",1,54,8,0-2 Feet - Very Tight,0.009,6,9,0.667,0.722,0.006,5,6,0.833,0.003,1,3,0.333,Stephen Curry
